model,checkpoint,seed,episodes,action_replacement_count,action_replacement_rate,avg_original_reward,avg_rec_action_count,avg_reward,avg_safe_action_count,collision_count,collisions,coverage_rate,coverage_ratio,dead_end_rec_count,dead_end_rec_rate,dead_end_safe_count,dead_end_safe_rate,episode_mean_threat_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_min_uav_margin,episode_return,episode_steps,error_rate,found_targets,min_rec_action_count,min_safe_action_count,mode_is_recursive,near_miss_count,near_miss_rate,original_episode_return,perf_future_cache_hit_rate,perf_predict_cache_hit_rate,perf_predict_time_ms,perf_recursive_candidate_checks,perf_recursive_gate_run_rate,perf_recursive_gate_skip_rate,perf_recursive_time_ms,perf_refine_time_ms,perf_rule_mask_time_ms,perf_safe_cache_hit_rate,perf_safe_time_ms,perf_shield_time_ms,perf_shield_time_ratio,perf_stats_time_ms,perf_step_time_ms,perf_steps_per_sec,search_rate,shield_agent_trigger_count,shield_fallback_count,shield_penalty_rate,shield_penalty_sum,shield_trigger_count,shield_trigger_rate,total_steps
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,1,20,53.55,0.44625000000000004,-565.7699180690104,0.0,-656.4199180690102,4.377416666666667,124.55,124.55,1.0,1.0,120.0,1.0,72.25,0.6020833333333333,9.78046774166979,10.728760070042368,-2.0,-1.0,-656.4199180690102,120.0,0.4636554866595858,10.0,0.0,0.0,0.0,105.55,0.8795833333333334,-565.7699180690104,0.0,0.12309086549132467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006671272567473352,20.767192991431024,48.20870758937753,1.0,242.7,72.25,0.7554166666666668,90.65,90.65,0.7554166666666668,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,2,20,54.3,0.4525,-608.2876153646469,0.0,-699.5876153646468,4.272833333333334,139.8,139.8,0.99975,0.99975,120.0,1.0,72.55,0.6045833333333334,9.365064608135508,10.862213149067934,-2.0,-1.0,-699.5876153646468,120.0,0.46513000821733497,10.0,0.0,0.0,0.0,103.35,0.8612500000000001,-608.2876153646469,0.0,0.11483897044131941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00669292698148638,20.911713315144873,47.89650716228266,1.0,257.25,72.55,0.7608333333333335,91.3,91.3,0.7608333333333335,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,3,20,52.85,0.44041666666666657,-573.0858581488095,0.0,-663.3858581488095,4.297583333333333,127.55,127.55,1.0,1.0,120.0,1.0,71.55,0.59625,9.402950155682436,10.928924575280188,-2.0,-1.0,-663.3858581488095,120.0,0.4648493461370834,10.0,0.0,0.0,0.0,102.9,0.8575000000000002,-573.0858581488095,0.0,0.12290247891611847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006700325466226786,20.712992906822663,48.35891538663246,1.0,248.7,71.55,0.7525000000000001,90.3,90.3,0.7525000000000001,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,4,20,50.3,0.41916666666666674,-559.9451193181972,0.0,-646.895119318197,4.363458333333333,127.2,127.2,1.0,1.0,120.0,1.0,68.6,0.5716666666666667,9.360064265772678,10.851911985658932,-2.0,-1.0,-646.895119318197,120.0,0.4635914121395294,10.0,0.0,0.0,0.0,101.6,0.8466666666666667,-559.9451193181972,0.0,0.1232477919438744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066900422583178925,20.761047547324175,48.230708517869516,1.0,238.75,68.6,0.7245833333333334,86.95,86.95,0.7245833333333334,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,5,20,55.4,0.4616666666666667,-622.1805154472725,0.0,-717.3305154472725,4.2204999999999995,142.0,142.0,1.0,1.0,120.0,1.0,78.85,0.6570833333333334,9.567949689337595,10.764236510824983,-2.0,-1.0,-717.3305154472725,120.0,0.46568032779146884,10.0,0.0,0.0,0.0,105.6,0.8799999999999999,-622.1805154472725,0.0,0.11267457615520718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006699951287979881,20.925563946996895,47.85872075837288,1.0,273.85,78.85,0.7929166666666665,95.15,95.15,0.7929166666666665,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,6,20,55.6,0.4633333333333334,-585.8325732546995,0.0,-677.2325732546994,4.275166666666666,129.5,129.5,0.999875,0.999875,120.0,1.0,72.45,0.60375,9.356698913691707,10.743007464519483,-2.0,-1.0,-677.2325732546994,120.0,0.4636730694441205,10.0,0.0,0.0,0.0,104.95,0.8745833333333334,-585.8325732546995,0.0,0.12305451315542477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006690199030951287,21.29838019560945,47.00498444095859,1.0,253.95,72.45,0.7616666666666667,91.4,91.4,0.7616666666666667,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,7,20,55.0,0.4583333333333332,-609.8423350412138,0.0,-701.6923350412136,4.244416666666667,142.8,142.8,1.0,1.0,120.0,1.0,74.55,0.62125,9.379152132545316,10.555808832545958,-2.0,-1.0,-701.6923350412136,120.0,0.46333285805755275,10.0,0.0,0.0,0.0,106.75,0.8895833333333334,-609.8423350412138,0.0,0.11946447634250454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006710369925713167,21.536723635266146,46.49077676418747,1.0,266.5,74.55,0.7654166666666666,91.85,91.85,0.7654166666666666,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,8,20,52.5,0.4375,-688.6092095365132,0.0,-781.1592095365132,4.193583333333334,152.5,152.5,0.9994999999999999,0.9994999999999999,120.0,1.0,78.0,0.65,9.629560227960281,10.649641965195086,-2.0,-1.0,-781.1592095365132,120.0,0.4657453424719448,10.0,0.0,0.0,0.0,103.55,0.8629166666666668,-688.6092095365132,0.0,0.1139002590861918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006713528515926252,21.035917565847438,47.624435319605325,1.0,271.05,78.0,0.77125,92.55,92.55,0.77125,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,9,20,55.75,0.4645833333333333,-656.8600624789799,0.0,-751.1600624789799,4.230041666666667,143.3,143.3,1.0,1.0,120.0,1.0,76.4,0.6366666666666666,9.419903948350669,10.761513483719144,-2.0,-1.0,-751.1600624789799,120.0,0.46414128419714495,10.0,0.0,0.0,0.0,106.75,0.8895833333333334,-656.8600624789799,0.0,0.11797181433729631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006716000643791631,21.167782424648372,47.32939255025134,1.0,267.1,76.4,0.7858333333333334,94.3,94.3,0.7858333333333334,120.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,10,20,54.3,0.4525,-603.9808482620836,0.0,-697.1308482620835,4.326375,129.3,129.3,1.0,1.0,120.0,1.0,75.45,0.6287499999999999,9.811110050467985,10.62093233440633,-2.0,-1.0,-697.1308482620835,120.0,0.4628364248877144,10.0,0.0,0.0,0.0,106.35,0.8862500000000001,-603.9808482620836,0.0,0.12104971658957502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006732772890245542,20.84623333881609,48.010601078764594,1.0,251.95,75.45,0.77625,93.15,93.15,0.77625,120.0
