split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,28,dense,off,1,120.0,-1256.3453369034023,-1256.3453369034023,-1256.3453369034023,-1256.3453369034023,1.0,10.0,1.0,1.0,0.4611257030066518,308.0,308.0,0.0,0.0,0.0,0.0,-1.0,9.135919692253985,-2.0,8.805358983371246,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,29,dense,off,1,120.0,-1231.8255949154088,-1231.8255949154088,-1231.8255949154088,-1231.8255949154088,1.0,10.0,0.9975,0.9975,0.4544778352420364,354.0,354.0,0.0,0.0,0.0,0.0,-1.0,7.771783335501955,-2.0,8.085262815919377,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,30,dense,off,1,120.0,-675.667167978742,-675.667167978742,-675.667167978742,-675.667167978742,1.0,10.0,1.0,1.0,0.46053971400201527,176.0,176.0,0.0,0.0,0.0,0.0,-1.0,8.285635399041194,-2.0,9.87980789085176,117.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,31,dense,off,1,120.0,-1241.565899118261,-1241.565899118261,-1241.565899118261,-1241.565899118261,1.0,10.0,1.0,1.0,0.45742795528599234,304.0,304.0,0.0,0.0,0.0,0.0,-1.0,8.833861559076807,-2.0,8.142665413178445,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,32,dense,off,1,120.0,-1478.8698307508828,-1478.8698307508828,-1478.8698307508828,-1478.8698307508828,1.0,10.0,1.0,1.0,0.46337833927243494,334.0,334.0,0.0,0.0,0.0,0.0,-1.0,8.703793884176667,-2.0,8.501297710309968,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,33,dense,off,1,120.0,-1226.5297263034404,-1226.5297263034404,-1226.5297263034404,-1226.5297263034404,1.0,10.0,1.0,1.0,0.46274193401371677,296.0,296.0,0.0,0.0,0.0,0.0,-1.0,8.495548520973019,-2.0,8.948038740625668,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,34,dense,off,1,120.0,-1207.0855588623285,-1207.0855588623285,-1207.0855588623285,-1207.0855588623285,1.0,10.0,1.0,1.0,0.45846443344039256,262.0,262.0,0.0,0.0,0.0,0.0,-1.0,9.133290409989737,-2.0,7.155371418545423,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,35,dense,off,1,120.0,-1114.8614026142652,-1114.8614026142652,-1114.8614026142652,-1114.8614026142652,1.0,10.0,1.0,1.0,0.45961243342782704,232.0,232.0,0.0,0.0,0.0,0.0,-1.0,8.998850457482483,-2.0,9.681757904089526,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,36,dense,off,1,120.0,-1248.9742081246925,-1248.9742081246925,-1248.9742081246925,-1248.9742081246925,1.0,10.0,0.995,0.995,0.4584059584607971,298.0,298.0,0.0,0.0,0.0,0.0,-1.0,8.125522428105013,-2.0,10.053710176783587,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,37,dense,off,1,120.0,-1235.875136528888,-1235.875136528888,-1235.875136528888,-1235.875136528888,1.0,10.0,1.0,1.0,0.46127640587767105,381.0,381.0,0.0,0.0,0.0,0.0,-1.0,8.423451290618225,-2.0,8.903076452409588,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
